Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	1120.41	12.206692	11.340033
D:	1122.21	12.206692	11.340033
D:	1124.00	12.206692	11.340033
D:	1125.77	12.450493	11.340033
D:	1127.50	12.450493	11.300657
D:	1129.24	12.450493	11.300657
D:	1131.03	12.450493	11.300657
D:	1132.82	12.450493	11.300657
D:	1134.59	12.450493	11.300657
D:	1136.36	12.499252	11.536909
D:	1138.18	12.499252	11.536909
D:	1140.05	12.499252	11.536909
D:	1141.88	12.499252	11.536909
D:	1143.68	12.499252	11.536909
D:	1145.45	12.264879	11.536909
D:	1147.23	12.264879	11.340033
D:	1149.05	12.264879	11.340033
D:	1150.81	12.264879	11.340033
D:	1152.54	12.264879	11.340033
D:	1154.33	12.264879	11.340033
D:	1156.08	12.218004	11.340033
D:	1157.83	12.218004	11.300657
D:	1159.54	12.218004	11.300657
D:	1161.28	12.218004	11.300657
D:	1163.04	12.218004	11.300657
D:	1164.94	12.218004	11.300657
D:	1166.77	12.208630	11.536909
D:	1168.50	12.208630	11.536909
D:	1170.41	12.208630	11.536909
D:	1172.23	12.208630	11.536909
D:	1173.96	12.208630	11.536909
D:	1175.77	12.206755	11.536909
D:	1177.54	12.206755	11.340033
D:	1179.29	12.206755	11.340033
D:	1181.03	12.206755	11.340033
D:	1182.80	12.206755	11.340033
D:	1184.47	12.206755	11.340033
D:	1186.24	12.206380	11.300657
D:	1188.01	12.206380	11.300657
D:	1189.76	12.206380	11.300657
D:	1191.53	12.206380	11.300657
D:	1193.29	12.206380	11.300657
D:	1195.05	12.206380	11.300657
D:	1196.81	12.450430	11.536909
D:	1198.60	12.450430	11.536909
D:	1200.56	12.450430	11.536909
D:	1202.31	12.450430	11.536909
D:	1204.06	12.450430	11.536909
D:	1205.82	12.499240	11.536909
D:	1207.58	12.499240	11.340033
D:	1209.31	12.499240	11.340033
D:	1211.02	12.499240	11.340033
D:	1212.83	12.499240	11.340033
D:	1214.54	12.499240	11.340033
D:	1216.31	12.264877	11.300657
D:	1218.23	12.264877	11.300657
D:	1220.01	12.264877	11.300657
D:	1221.80	12.264877	11.300657
D:	1223.55	12.264877	11.300657
D:	1225.48	12.218004	11.300657
D:	1227.26	12.218004	11.536909
D:	1229.02	12.218004	11.536909
D:	1230.77	12.218004	11.536909
D:	1232.59	12.218004	11.536909
D:	1234.41	12.218004	11.536909
D:	1236.20	12.208630	11.340033
D:	1238.09	12.208630	11.340033
D:	1240.11	12.208630	11.340033
D:	1241.88	12.208630	11.340033
D:	1243.61	12.208630	11.340033
D:	1245.30	12.206755	11.340033
D:	1247.02	12.206755	11.300657
D:	1248.84	12.206755	11.300657
D:	1250.68	12.206755	11.300657
D:	1252.45	12.206755	11.300657
D:	1254.22	12.206755	11.300657
D:	1256.00	12.450505	11.300657
D:	1257.77	12.450505	11.536909
D:	1259.58	12.450505	11.536909
D:	1261.29	12.450505	11.536909
D:	1263.03	12.450505	11.536909
D:	1264.61	12.450505	11.536909
D:	1266.38	12.255130	11.340033
D:	1268.27	12.255130	11.340033
D:	1270.02	12.255130	11.340033
D:	1271.80	12.255130	11.340033
D:	1273.54	12.255130	11.340033
D:	1275.31	12.460180	11.340033
D:	1277.14	12.460180	11.544784
D:	1278.92	12.460180	11.544784
D:	1280.78	12.460180	11.544784
D:	1282.67	12.460180	11.544784
D:	1284.48	12.460180	11.544784
