Syntax version=4
Sun Feb 01 15:04:19 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	908.63	12.206286	11.292782
D:	910.36	12.206286	11.535334
D:	912.38	12.206286	11.535334
D:	914.17	12.206286	11.535334
D:	915.91	12.206286	11.535334
D:	917.62	12.206286	11.535334
D:	919.33	12.206286	11.535334
D:	921.09	12.206286	11.339718
D:	922.80	12.206286	11.339718
D:	924.60	12.206286	11.339718
D:	926.36	12.206286	11.339718
D:	928.33	12.206286	11.339718
D:	930.11	12.206286	11.300594
D:	931.80	12.206286	11.300594
D:	933.52	12.206286	11.300594
D:	935.31	12.206286	11.300594
D:	937.08	12.206286	11.300594
D:	938.86	12.450412	11.300594
D:	940.61	12.450412	11.292769
D:	942.31	12.450412	11.292769
D:	944.04	12.450412	11.292769
D:	945.78	12.450412	11.292769
D:	947.48	12.450412	11.292769
D:	949.18	12.255112	11.292769
D:	950.99	12.255112	11.535331
D:	952.76	12.255112	11.535331
D:	954.43	12.255112	11.535331
D:	956.25	12.255112	11.535331
D:	958.06	12.255112	11.535331
D:	959.98	12.216051	11.339717
D:	961.75	12.216051	11.339717
D:	963.46	12.216051	11.339717
D:	965.18	12.216051	11.339717
D:	966.88	12.216051	11.339717
D:	968.58	12.216051	11.339717
D:	970.26	12.208239	11.300594
D:	971.95	12.208239	11.300594
D:	973.83	12.208239	11.300594
D:	975.76	12.208239	11.300594
D:	977.46	12.208239	11.300594
D:	979.18	12.206676	11.300594
D:	980.88	12.206676	11.536896
D:	982.56	12.206676	11.536896
D:	984.23	12.206676	11.536896
D:	985.95	12.206676	11.536896
D:	987.64	12.206676	11.536896
D:	989.34	12.206364	11.536896
D:	991.17	12.206364	11.340030
D:	992.86	12.206364	11.340030
D:	994.59	12.206364	11.340030
D:	996.34	12.206364	11.340030
D:	998.11	12.206364	11.340030
D:	999.79	12.206302	11.340030
D:	1001.53	12.206302	11.300657
D:	1003.28	12.206302	11.300657
D:	1004.99	12.206302	11.300657
D:	1006.82	12.206302	11.300657
D:	1008.52	12.206302	11.300657
D:	1010.28	12.206289	11.536909
D:	1011.99	12.206289	11.536909
D:	1013.75	12.206289	11.536909
D:	1015.45	12.206289	11.536909
D:	1017.18	12.206289	11.536909
D:	1018.91	12.206286	11.536909
D:	1020.62	12.206286	11.340033
D:	1022.38	12.206286	11.340033
D:	1024.24	12.206286	11.340033
D:	1026.18	12.206286	11.340033
D:	1027.88	12.206286	11.340033
D:	1029.60	12.206286	11.340033
D:	1031.29	12.206286	11.300657
D:	1032.99	12.206286	11.300657
D:	1034.75	12.206286	11.300657
D:	1036.44	12.206286	11.300657
D:	1038.18	12.206286	11.300657
D:	1040.02	12.206286	11.536909
D:	1041.81	12.206286	11.536909
D:	1043.51	12.206286	11.536909
D:	1045.21	12.206286	11.536909
D:	1046.95	12.206286	11.536909
D:	1048.66	12.206286	11.536909
D:	1050.34	12.206286	11.340033
D:	1052.15	12.206286	11.340033
D:	1053.91	12.206286	11.340033
D:	1055.84	12.206286	11.340033
D:	1057.64	12.206286	11.340033
D:	1059.34	12.206286	11.340033
D:	1061.12	12.206286	11.300657
D:	1062.93	12.206286	11.300657
